account_id,customer_id,account_type,branch_id,open_date,current_balance_pkr,status
A500168,C100110,Current,BR1006,2022-10-02,572111.8,ACTIVE
A500169,C100110,Current,BR1013,2022-05-31,582947.23,Active
A500170,C100111,Savings,BR1008,2024-11-06,121623.09,ACTIVE
A500171,C100111,Current,BR1017,2024-10-05,343704.65,DORMANT
A500172,C100112,Savings,BR1002,2022-12-24,113435.18,Closed
A500173,C100113,Savings,BR1031,2024-03-28,1067955.89,ACTIVE
A500174,C100114,Savings,BR1002,2025-10-20,111570.78,ACTIVE
A500175,C100115,Term Deposit,BR1003,2025-12-09,1546708.74,Active
A500176,C100116,Savings,BR1009,2024-08-21,84675.12,Active
A500177,C100116,Savings,BR1008,2024-07-28,197868.45,ACTIVE
A500178,C100117,Current,BR1010,2025-01-03,1241167.15,ACTIVE
A500179,C100117,Savings,BR1032,2025-01-16,176366.69,ACTIVE
A500180,C100118,Current,BR1021,2023-02-01,545372.26,ACTIVE
A500181,C100119,Savings,BR1004,2025-11-22,52659.85,Active
A500182,C100119,Savings,BR1025,2025-11-11,151152.34,ACTIVE
A500183,C100120,Savings,BR1024,2024-11-30,129284.22,ACTIVE
A500184,C100121,Current,BR1031,2024-09-12,950445.4,ACTIVE
A500185,C100122,Savings,BR1010,2025-01-03,295695.95,ACTIVE
A500186,C100122,Current,BR1032,2025-01-26,171532.86,ACTIVE
A500187,C100123,Savings,BR1021,2025-12-27,49700.73,ACTIVE
A500188,C100123,Savings,BR1019,2026-06-19,273628.53,Active
A500189,C100124,Savings,BR1016,2024-10-23,87681.17,ACTIVE
A500190,C100125,Savings,BR1036,2024-09-27,330014.49,ACTIVE
A500191,C100126,Savings,BR1005,2024-03-21,88011.49,ACTIVE
A500192,C100127,Current,BR1018,2023-11-13,608857.1,ACTIVE
A500193,C100128,Current,BR1024,2025-03-25,239730.77,CLOSED
A500194,C100129,Savings,BR1023,2024-07-04,87778.7,CLOSED
A500195,C100130,Current,BR1023,2022-08-07,459751.61,ACTIVE
A500196,C100130,Current,BR1001,2023-03-05,560155.69,ACTIVE
A500197,C100130,Current,BR1030,2023-01-16,170484.04,CLOSED
A500198,C100131,Savings,BR1029,2024-03-26,593368.23,Active
A500199,C100131,Savings,BR1027,2024-04-15,49063.5,ACTIVE
A500200,C100132,Current,BR1013,2026-08-25,497895.31,ACTIVE
A500201,C100132,Current,BR1010,2026-02-08,33944.43,ACTIVE
A500202,C100133,Current,BR1016,2022-05-28,776339.8,ACTIVE
A500203,C100133,Current,BR1035,2022-07-12,218542.19,ACTIVE
A500204,C100134,Current,BR1014,2025-07-10,169325.3,ACTIVE
A500205,C100135,Savings,BR1004,2025-12-31,2361906.53,Active
A500206,C100136,Current,BR1021,2025-07-17,1986642.46,Active
A500207,C100137,Current,BR1006,2023-06-17,358312.25,ACTIVE
A500208,C100137,Savings,BR1016,2023-05-31,454708.29,ACTIVE
A500209,C100138,Savings,BR1021,2023-08-02,366243.37,Active
A500210,C100138,Savings,BR1023,2023-07-25,52308.94,ACTIVE
A500211,C100138,Savings,BR1015,2023-11-12,210601.02,CLOSED
A500212,C100139,Term Deposit,BR1005,2025-06-19,3683839.46,Active
A500213,C100139,Savings,BR1029,2025-07-09,272948.89,ACTIVE
A500214,C100140,Savings,BR1003,2023-12-21,117339.4,ACTIVE
A500215,C100140,Savings,BR1031,2023-07-14,272860.93,ACTIVE
A500216,C100141,Savings,BR1032,2026-11-10,111221.08,ACTIVE
A500217,C100141,Savings,BR1012,2026-10-19,768316.19,Active
A500218,C100141,Current,BR1033,2026-04-07,981808.3,ACTIVE
A500219,C100142,Savings,BR1030,2025-01-01,79338.01,ACTIVE
A500220,C100142,Savings,BR1001,2024-03-16,1455314.0,ACTIVE
A500221,C100143,Current,BR1005,2024-04-12,530323.93,ACTIVE
A500222,C100143,Current,BR1003,2024-05-15,1048361.28,ACTIVE
A500223,C100144,Current,BR1033,2024-02-27,181416.29,ACTIVE
A500224,C100145,Savings,BR1012,2024-09-10,314755.45,Active
A500225,C100145,Current,BR1024,2023-09-17,552377.02,Dormant
A500226,C100145,Current,BR1024,2024-01-16,297935.59,ACTIVE
A500227,C100146,Savings,BR1017,2023-03-08,665575.64,ACTIVE
A500228,C100147,Savings,BR1012,2024-06-05,286595.83,ACTIVE
A500229,C100147,Savings,BR1012,2023-08-12,48321.08,ACTIVE
A500230,C100147,Savings,BR1019,2023-10-07,32485.74,ACTIVE
A500231,C100148,Savings,BR1012,2025-02-22,58190.31,CLOSED
A500232,C100148,Savings,BR1024,2025-03-31,125599.39,Active
A500233,C100149,Current,BR1007,2022-08-10,1560340.68,ACTIVE
A500234,C100149,Current,BR1034,2023-01-23,199168.34,Active
A500235,C100150,Savings,BR1019,2022-06-09,398138.36,ACTIVE
A500236,C100151,Savings,BR1023,2024-02-22,599640.1,ACTIVE
A500237,C100152,Savings,BR1009,2022-12-25,133259.66,DORMANT
A500238,C100153,Term Deposit,BR1003,2024-03-07,518480.56,ACTIVE
A500239,C100153,Savings,BR1026,2024-03-10,448548.13,Active
A500240,C100154,Savings,BR1026,2025-11-21,232676.35,ACTIVE
A500241,C100154,Term Deposit,BR1029,2025-12-26,2012472.4,Active
A500242,C100155,Current,BR1031,2024-06-04,220789.34,ACTIVE
A500243,C100155,Current,BR1004,2024-09-03,246837.38,ACTIVE
A500244,C100156,Savings,BR1013,2023-06-04,61711.81,ACTIVE
A500245,C100157,Current,BR1004,2023-04-30,150216.81,Active
A500246,C100158,Savings,BR1024,2025-11-15,606624.39,CLOSED
A500247,C100159,Current,BR1032,2025-06-25,841246.86,ACTIVE
A500248,C100160,Current,BR1027,2025-03-26,276139.92,ACTIVE
A500249,C100161,Savings,BR1006,2023-11-12,100586.93,ACTIVE
A500250,C100162,Savings,BR1036,2025-02-09,391031.47,ACTIVE
A500251,C100162,Current,BR1017,2025-06-04,353317.39,ACTIVE
A500252,C100163,Savings,BR1035,2025-04-07,310825.97,DORMANT
A500253,C100163,Term Deposit,BR1029,2026-01-14,1909080.27,Active
A500254,C100164,Savings,BR1031,2023-01-21,110041.39,DORMANT
A500255,C100165,Savings,BR1032,2025-08-07,691923.12,ACTIVE
A500256,C100165,Savings,BR1020,2025-09-04,106914.25,ACTIVE
A500257,C100166,Term Deposit,BR1009,2024-06-08,1165586.98,Active
A500258,C100166,Savings,BR1024,2023-11-25,386718.68,ACTIVE
A500259,C100167,Savings,BR1025,2024-06-20,944779.01,ACTIVE
A500260,C100167,Current,BR1003,2023-10-17,458412.71,ACTIVE
A500261,C100168,Savings,BR1026,2025-08-08,878596.78,CLOSED
A500262,C100169,Term Deposit,BR1020,2026-02-06,2006536.31,Active
A500263,C100170,Current,BR1030,2025-08-24,284778.07,ACTIVE
A500264,C100170,Term Deposit,BR1011,2024-12-27,305326.42,ACTIVE
A500265,C100170,Savings,BR1010,2025-11-19,396330.99,ACTIVE
A500266,C100171,Savings,BR1026,2025-03-11,198815.76,Active
A500267,C100171,Savings,BR1025,2025-08-02,180801.67,DORMANT
A500268,C100171,Current,BR1004,2025-01-31,2227898.64,Closed
A500269,C100172,Savings,BR1034,2023-05-19,49718.63,DORMANT
A500270,C100172,Savings,BR1006,2023-03-30,250860.4,Active
A500271,C100173,Savings,BR1011,2026-06-05,1592772.41,ACTIVE
A500272,C100173,Savings,BR1014,2026-08-10,94004.03,Dormant
A500273,C100173,Savings,BR1035,2026-09-06,127913.94,ACTIVE
A500274,C100174,Current,BR1027,2022-10-26,255647.62,ACTIVE
A500275,C100175,Savings,BR1022,2024-04-12,49289.01,DORMANT
A500276,C100176,Current,BR1028,2023-06-27,388005.81,ACTIVE
A500277,C100176,Current,BR1010,2023-07-28,382948.16,ACTIVE
A500278,C100177,Current,BR1022,2023-01-04,548928.06,ACTIVE
A500279,C100178,Savings,BR1002,2026-01-25,214638.96,Active
A500280,C100178,Savings,BR1022,2025-09-11,174925.01,ACTIVE
A500281,C100179,Savings,BR1019,2023-05-26,108574.32,ACTIVE
A500282,C100180,Savings,BR1022,2024-01-23,28040.14,ACTIVE
A500283,C100181,Current,BR1002,2025-05-02,2344917.74,ACTIVE
A500284,C100182,Current,BR1031,2024-12-07,2141161.97,ACTIVE
A500285,C100182,Current,BR1011,2024-11-10,354961.37,ACTIVE
A500286,C100183,Term Deposit,BR1006,2023-02-05,3095669.57,ACTIVE
A500287,C100183,Savings,BR1022,2023-09-16,304576.29,Active
A500288,C100184,Savings,BR1033,2025-08-19,62097.19,ACTIVE
A500289,C100184,Savings,BR1004,2025-06-26,1146106.27,CLOSED
A500290,C100184,Savings,BR1033,2025-09-27,227151.09,Active
A500291,C100185,Savings,BR1020,2023-06-01,67832.38,Active
A500292,C100186,Current,BR1036,2024-02-22,282504.31,Active
A500293,C100187,Savings,BR1024,2023-02-13,363748.08,ACTIVE
A500294,C100188,Current,BR1028,2024-04-08,660070.39,Dormant
A500295,C100189,Savings,BR1008,2022-12-06,647506.37,Active
A500296,C100189,Current,BR1001,2022-04-03,338351.36,DORMANT
A500297,C100189,Savings,BR1022,2022-07-12,75572.83,ACTIVE
A500298,C100190,Savings,BR1036,2023-01-11,114353.39,CLOSED
A500299,C100190,Savings,BR1028,2022-09-15,693375.84,ACTIVE
A500300,C100191,Savings,BR1006,2022-04-11,416058.66,DORMANT
A500301,C100191,Savings,BR1014,2023-02-28,324290.87,ACTIVE
A500302,C100191,Savings,BR1005,2022-12-10,179610.12,Active
A500303,C100192,Current,BR1028,2025-05-11,246768.61,ACTIVE
A500304,C100193,Term Deposit,BR1011,2023-05-26,1548245.2,Active
A500305,C100193,Current,BR1036,2023-07-11,715361.79,Active
A500306,C100193,Savings,BR1022,2023-11-08,103743.99,ACTIVE
A500307,C100194,Savings,BR1013,2024-05-18,340243.5,Active
A500308,C100194,Savings,BR1009,2024-02-15,88736.37,ACTIVE
A500309,C100194,Savings,BR1026,2024-06-01,108464.37,ACTIVE
A500310,C100195,Savings,BR1014,2024-08-10,237651.08,ACTIVE
A500311,C100195,Savings,BR1015,2024-08-02,87175.42,ACTIVE
A500312,C100196,Savings,BR1027,2025-12-24,84969.02,CLOSED
A500313,C100197,Savings,BR1032,2025-02-07,720057.57,ACTIVE
A500314,C100198,Current,BR1014,2023-02-10,1556655.79,ACTIVE
A500315,C100199,Current,BR1032,2023-03-23,310837.07,Active
A500316,C100199,Savings,BR1024,2023-02-27,187729.35,ACTIVE
A500317,C100200,Current,BR1017,2023-02-09,536324.95,ACTIVE
A500318,C100200,Savings,BR1019,2023-06-18,506138.84,ACTIVE
A500319,C100201,Term Deposit,BR1017,2023-04-08,957458.86,ACTIVE
A500320,C100202,Savings,BR1035,2022-03-03,328918.4,ACTIVE
A500321,C100202,Savings,BR1008,2022-03-19,97265.5,ACTIVE
A500322,C100203,Savings,BR1025,2024-12-07,117203.0,ACTIVE
A500323,C100204,Savings,BR1005,2025-03-07,202042.99,ACTIVE
A500324,C100205,Current,BR1033,2024-09-07,254544.96,DORMANT
A500325,C100206,Current,BR1032,2024-02-13,2171060.39,ACTIVE
A500326,C100207,Savings,BR1004,2023-04-22,130720.36,Active
A500327,C100207,Current,BR1029,2023-05-01,92010.17,Active
A500328,C100208,Savings,BR1019,2023-03-25,78399.57,ACTIVE
A500329,C100208,Savings,BR1008,2024-03-03,27759.33,ACTIVE
A500330,C100208,Current,BR1007,2023-08-24,601828.66,ACTIVE
A500331,C100209,Savings,BR1019,2023-02-10,93579.42,ACTIVE
A500332,C100209,Current,BR1018,2023-03-30,1077254.22,Active
A500333,C100210,Savings,BR1031,2024-01-18,603692.82,ACTIVE
A500334,C100211,Savings,BR1011,2024-09-10,200932.82,ACTIVE
A500335,C100212,Savings,BR1001,2024-03-11,175742.74,ACTIVE
A500336,C100212,Savings,BR1005,2023-03-12,75999.69,Active
A500337,C100213,Savings,BR1021,2025-08-29,695112.11,ACTIVE
A500338,C100213,Savings,BR1026,2025-10-14,100097.99,Active
A500339,C100214,Savings,BR1012,2024-05-24,537247.1,ACTIVE
A500340,C100215,Current,BR1033,2025-09-18,635846.07,Active
A500341,C100215,Current,BR1027,2025-01-09,280447.12,ACTIVE
A500342,C100216,Savings,BR1009,2023-05-08,150279.71,ACTIVE
A500343,C100217,Current,BR1012,2025-07-20,278052.25,ACTIVE
A500344,C100218,Current,BR1034,2024-09-02,636373.83,ACTIVE
A500345,C100219,Current,BR1027,2025-06-14,99637.36,ACTIVE
A500346,C100220,Savings,BR1012,2026-01-26,22327.33,ACTIVE
A500347,C100220,Current,BR1018,2026-01-15,486825.84,ACTIVE
A500348,C100221,Savings,BR1013,2026-02-05,138709.12,ACTIVE
A500349,C100222,Current,BR1012,2024-11-13,379298.02,ACTIVE
A500350,C100223,Savings,BR1001,2025-09-10,135158.48,ACTIVE
A500351,C100223,Savings,BR1002,2025-12-10,114866.34,Active
A500352,C100223,Savings,BR1034,2025-11-27,91932.79,ACTIVE
A500353,C100224,Savings,BR1034,2025-10-02,207945.57,Active
A500354,C100225,Savings,BR1023,2022-11-07,50640.59,Active
A500355,C100226,Savings,BR1018,2024-06-30,470730.15,ACTIVE
A500356,C100227,Savings,BR1002,2024-11-27,599194.7,CLOSED
A500357,C100228,Savings,BR1020,2023-04-30,90689.04,ACTIVE
A500358,C100229,Current,BR1024,2025-02-05,35592.96,ACTIVE
A500359,C100229,Current,BR1024,2024-11-16,213237.88,ACTIVE
A500360,C100229,Savings,BR1034,2025-07-09,468628.39,ACTIVE
A500361,C100230,Current,BR1027,2026-01-16,351826.02,Active
A500362,C100231,Savings,BR1035,2024-06-28,84746.16,Closed
A500363,C100231,Current,BR1019,2024-02-08,591532.22,Active
A500364,C100231,Savings,BR1022,2023-12-26,237073.46,ACTIVE
A500365,C100232,Savings,BR1029,2023-08-04,161755.01,ACTIVE
A500366,C100233,Savings,BR1020,2025-04-01,211819.92,Active
A500367,C100233,Term Deposit,BR1031,2025-03-14,553068.45,ACTIVE
A500368,C100233,Current,BR1016,2024-12-05,794320.84,ACTIVE
A500369,C100234,Savings,BR1011,2026-10-22,159584.94,DORMANT
A500370,C100235,Savings,BR1013,2022-05-29,147986.23,ACTIVE
A500371,C100236,Current,BR1031,2026-07-29,418951.66,ACTIVE
A500372,C100237,Term Deposit,BR1010,2025-03-28,1094600.88,ACTIVE
A500373,C100238,Current,BR1022,2022-10-10,77514.44,Active
A500374,C100238,Savings,BR1017,2023-09-15,96005.11,DORMANT
A500375,C100239,Term Deposit,BR1033,2023-11-21,289179.58,Active
A500376,C100240,Savings,BR1006,2023-01-31,331205.72,ACTIVE
A500377,C100241,Term Deposit,BR1006,2025-01-01,555776.72,ACTIVE
A500378,C100242,Savings,BR1010,2024-02-03,79318.91,Active
A500379,C100243,Savings,BR1002,2024-12-17,37924.44,ACTIVE
A500380,C100244,Savings,BR1025,2025-05-20,100505.98,Active
A500381,C100244,Savings,BR1017,2024-06-03,759912.02,ACTIVE
A500382,C100244,Savings,BR1009,2025-03-14,96424.21,ACTIVE
A500383,C100245,Term Deposit,BR1028,2025-02-15,311444.16,ACTIVE
A500384,C100246,Savings,BR1031,2024-07-16,56538.39,ACTIVE
A500385,C100246,Current,BR1010,2023-09-22,243316.38,ACTIVE
A500386,C100246,Term Deposit,BR1016,2024-06-15,1519378.05,ACTIVE
A500387,C100247,Savings,BR1010,2024-11-07,272297.61,ACTIVE
A500388,C100247,Savings,BR1013,2025-04-28,150011.48,ACTIVE
A500389,C100248,Savings,BR1033,2025-06-29,371218.29,ACTIVE
A500390,C100249,Savings,BR1028,2024-09-20,52813.22,ACTIVE
A500391,C100249,Current,BR1032,2024-04-25,199225.64,ACTIVE
A500392,C100249,Savings,BR1011,2024-03-06,469557.42,ACTIVE
A500393,C100250,Current,BR1030,2026-05-01,248442.77,Active
A500394,C100251,Savings,BR1021,2024-01-18,49829.51,Active
A500395,C100252,Current,BR1009,2024-01-05,428066.57,ACTIVE
A500396,C100253,Current,BR1032,2024-08-01,504031.75,ACTIVE
