loan_id,customer_id,product,principal_pkr,interest_rate_pct,tenor_months,monthly_installment_pkr,disbursement_date,credit_utilisation,prior_delinquencies,days_past_due,loan_status
L700019,C108856,Personal Loan,403300.0,12.09,36,13411.05,2024-11-14,0.4985,0,0,ACTIVE
L700020,C105802,Personal Loan,897300.0,22.26,36,34389.22,2023-04-25,0.4048,0,0,ACTIVE
L700021,C101648,Auto Finance,611000.0,15.26,60,14618.42,2024-10-30,0.0685,0,45,ACTIVE
L700022,C103795,Personal Loan,1482100.0,19.46,36,54673.82,2027-04-28,0.1932,2,227,DEFAULT
L700023,C106349,Personal Loan,353400.0,16.55,36,12521.1,2025-06-23,0.3417,0,7,CLOSED
L700024,C107780,Personal Loan,1398400.0,22.37,36,53671.76,2024-08-19,0.0111,1,385,DEFAULT
L700025,C108034,Credit Card,18900.0,19.15,12,1744.75,2024-04-15,0.3244,0,30,ACTIVE
L700026,C110709,Personal Loan,533900.0,15.59,36,18661.99,2026-12-24,0.3063,0,0,ACTIVE
L700027,C103177,Credit Card,327900.0,11.71,12,29091.29,2026-07-10,0.4666,1,0,ACTIVE
L700028,C108016,Auto Finance,702200.0,17.02,60,17459.33,2025-11-11,0.4241,0,0,ACTIVE
L700029,C103645,Auto Finance,923400.0,24.47,60,26817.04,2026-06-03,0.6723,1,0,ACTIVE
L700030,C103317,Home Finance,6400800.0,17.32,180,99963.95,2024-11-08,0.4857,0,0,ACTIVE
L700031,C110720,Auto Finance,1034400.0,14.88,60,24542.48,2026-07-18,0.1477,0,15,ACTIVE
L700032,C103501,Personal Loan,793900.0,18.02,36,28709.78,2022-10-05,0.3984,0,7,ACTIVE
L700033,C105894,Auto Finance,1020600.0,19.05,60,26502.84,2022-05-08,0.1841,0,0,CLOSED
L700034,C100481,Auto Finance,1435600.0,26.96,60,43802.88,2025-12-17,0.1755,0,0,ACTIVE
L700035,C111679,Credit Card,103100.0,19.2,12,9511.03,2026-10-11,0.1099,2,365,DEFAULT
L700036,C102415,Credit Card,250900.0,18.4,12,23054.24,2022-05-19,0.827,1,30,ACTIVE
L700037,C103187,Home Finance,224300.0,23.29,180,4494.26,2023-11-27,0.5012,0,0,ACTIVE
L700038,C100808,Auto Finance,2229000.0,12.82,60,50511.54,2024-04-02,0.3241,2,30,ACTIVE
L700039,C106840,Credit Card,448400.0,19.47,12,41424.21,2023-08-31,0.4644,1,105,DEFAULT
L700040,C110871,Credit Card,166700.0,23.49,12,15720.75,2025-12-29,0.0331,0,165,DEFAULT
L700041,C104128,Auto Finance,2238400.0,16.89,60,55498.88,2025-06-07,0.5174,1,0,ACTIVE
L700042,C110214,Personal Loan,293000.0,23.14,36,11361.79,2023-03-01,0.2306,0,0,ACTIVE
L700043,C101577,Personal Loan,1457500.0,16.87,36,51869.17,2024-04-08,0.0609,0,15,ACTIVE
L700044,C110754,Personal Loan,551900.0,20.51,36,20652.61,2022-11-10,0.4583,0,0,ACTIVE
L700045,C105230,Auto Finance,755800.0,24.54,60,21981.53,2024-06-19,0.1991,0,7,ACTIVE
L700046,C108343,Credit Card,86100.0,19.67,12,7965.24,2025-02-23,0.2975,1,0,ACTIVE
L700047,C103142,Home Finance,1337700.0,17.47,180,21034.99,2027-03-20,0.3939,1,0,ACTIVE
L700048,C109982,Auto Finance,416900.0,17.59,60,10493.65,2024-09-13,0.2149,1,286,DEFAULT
L700049,C107342,Home Finance,486800.0,22.16,180,9335.79,2023-12-15,0.3496,0,0,CLOSED
L700050,C109834,Personal Loan,1095000.0,22.66,36,42194.11,2025-05-09,0.089,0,0,CLOSED
L700051,C104879,Credit Card,307200.0,23.15,12,28925.26,2025-10-04,0.513,0,253,DEFAULT
L700052,C108457,Credit Card,551900.0,,12,50734.92,2025-06-04,0.3766,0,30,CLOSED
L700053,C102942,Personal Loan,520400.0,22.28,36,19948.93,2024-09-20,0.1475,0,7,ACTIVE
L700054,C100216,Personal Loan,572100.0,,36,19389.24,2024-04-25,0.2573,0,0,ACTIVE
L700055,C105638,Credit Card,441800.0,17.21,12,40339.7,2023-12-19,0.4795,1,7,CLOSED
L700056,C108086,Credit Card,54900.0,19.35,12,5068.24,2024-02-29,0.2044,0,45,ACTIVE
L700057,C111264,Personal Loan,670700.0,19.11,36,24622.54,2024-05-04,0.338,0,0,CLOSED
L700058,C105416,Credit Card,163000.0,20.07,12,15101.31,2023-06-29,0.7592,0,0,CLOSED
L700059,C106776,Credit Card,307400.0,14.68,12,27700.07,2025-02-02,0.1634,0,45,CLOSED
L700060,C104644,Auto Finance,525600.0,,60,14705.74,2026-10-26,0.2301,0,0,ACTIVE
L700061,C104299,Credit Card,392100.0,,12,36132.78,2026-04-18,0.5274,2,0,ACTIVE
L700062,C101430,Credit Card,389000.0,20.85,12,36196.03,2025-11-04,0.4596,0,45,ACTIVE
L700063,C111910,Auto Finance,875100.0,15.36,60,20983.23,2025-01-09,0.5479,0,0,CLOSED
L700064,C105849,Personal Loan,543900.0,22.83,36,21007.45,2025-04-22,0.1103,1,0,CLOSED
L700065,C105920,Credit Card,234400.0,19.4,12,21649.32,2025-01-08,0.6334,0,15,ACTIVE
L700066,C111565,Personal Loan,192300.0,17.46,36,6900.46,2025-06-09,0.2423,1,0,ACTIVE
L700067,C109186,Home Finance,440200.0,19.49,180,7565.5,2025-01-03,0.7309,1,0,CLOSED
L700068,C110563,Credit Card,801200.0,27.82,12,77252.46,2025-08-25,0.2292,1,0,ACTIVE
L700069,C103818,Auto Finance,1219900.0,20.77,60,32844.32,2024-06-19,0.5538,1,15,ACTIVE
L700070,C105172,Credit Card,84900.0,24.85,12,8062.2,2024-01-05,0.6502,0,45,ACTIVE
L700071,C100339,Credit Card,537300.0,19.13,12,49548.14,2022-12-17,0.2171,0,7,ACTIVE
L700072,C107470,Auto Finance,180300.0,19.75,60,4750.64,2023-09-10,0.4406,0,30,ACTIVE
L700073,C101281,Auto Finance,1052700.0,22.02,60,29085.25,2023-09-13,0.2953,1,0,CLOSED
L700074,C102030,Auto Finance,912000.0,20.9,60,24622.67,2023-11-15,0.5606,1,7,ACTIVE
L700075,C106025,Personal Loan,232300.0,17.33,36,8320.62,2025-07-05,0.1299,0,0,CLOSED
L700076,C103749,Personal Loan,428200.0,15.09,36,14863.05,2023-07-27,0.3634,0,0,ACTIVE
L700077,C110979,Auto Finance,664200.0,15.03,60,15811.76,2025-08-14,0.062,0,45,ACTIVE
L700078,C106608,Credit Card,303600.0,22.04,12,28423.65,2025-11-30,0.2473,0,15,ACTIVE
L700079,C102132,Auto Finance,306600.0,17.87,60,7764.59,2023-11-26,0.0268,1,0,CLOSED
L700080,C110312,Home Finance,1363800.0,16.88,180,20873.61,2024-10-12,0.3642,0,15,ACTIVE
L700081,C109772,Personal Loan,381200.0,18.98,36,13968.81,2025-01-23,0.569,0,15,ACTIVE
L700082,C106651,Personal Loan,641300.0,21.86,36,24443.33,2024-03-28,0.3637,0,7,ACTIVE
L700083,C110797,Home Finance,1201200.0,18.04,180,19379.14,2024-06-07,0.4675,0,30,CLOSED
L700084,C106034,Personal Loan,245300.0,19.14,36,9008.32,2024-08-24,0.0123,1,0,CLOSED
L700085,C108346,Personal Loan,740900.0,16.5,36,26231.54,2024-03-05,0.5394,0,0,ACTIVE
L700086,C109861,Auto Finance,1822100.0,16.44,60,44736.25,2024-08-21,0.5419,1,45,ACTIVE
L700087,C106969,Personal Loan,767800.0,18.41,36,27916.78,2022-05-19,0.7411,1,0,ACTIVE
L700088,C111171,Home Finance,908100.0,19.47,180,15595.04,2025-10-26,0.1117,2,0,ACTIVE
L700089,C108206,Credit Card,168400.0,23.71,12,15900.79,2022-12-25,0.1222,0,0,ACTIVE
L700090,C107225,Home Finance,2732200.0,17.13,180,42300.21,2026-03-20,0.4307,2,45,ACTIVE
L700091,C110216,Home Finance,393100.0,17.45,180,6176.24,2024-10-27,0.3047,1,15,CLOSED
L700092,C101398,Home Finance,3278000.0,14.35,180,44428.13,2024-05-05,0.4612,1,15,ACTIVE
L700093,C100303,Home Finance,1385500.0,19.13,180,23448.29,2023-04-05,0.3499,0,0,CLOSED
L700094,C111580,Credit Card,99300.0,21.89,12,9289.86,2023-06-06,0.4362,0,7,ACTIVE
L700095,C100639,Auto Finance,1893600.0,18.65,60,48756.43,2024-02-20,0.3993,1,235,DEFAULT
L700096,C105263,Auto Finance,837400.0,21.4,60,22844.03,2025-08-10,0.6385,1,0,ACTIVE
L700097,C105621,Auto Finance,1392200.0,25.61,60,41363.31,2026-03-08,0.7414,1,45,CLOSED
L700098,C110049,Home Finance,1892400.0,18.44,180,31076.46,2022-07-01,0.321,0,15,ACTIVE
L700099,C109895,Personal Loan,1696100.0,16.81,36,60310.39,2026-05-11,0.6997,0,15,ACTIVE
L700100,C110125,Personal Loan,333000.0,19.03,36,12210.96,2026-04-13,0.2197,0,258,DEFAULT
L700101,C102762,Auto Finance,681100.0,20.59,60,18268.17,2024-08-14,0.2875,0,15,ACTIVE
L700102,C103867,Personal Loan,887700.0,17.21,36,31741.05,2023-09-16,0.4369,0,0,ACTIVE
L700103,C106011,Credit Card,183800.0,14.5,12,16542.67,2027-07-11,0.0135,0,0,ACTIVE
L700104,C105949,Personal Loan,571600.0,20.02,36,21249.38,2024-08-03,0.3425,0,224,DEFAULT
L700105,C104383,Auto Finance,1938600.0,17.05,60,48230.85,2025-09-14,0.3606,0,0,ACTIVE
L700106,C103283,Auto Finance,3772100.0,14.87,60,89480.19,2026-05-25,0.6763,1,0,ACTIVE
L700107,C100078,Credit Card,265400.0,18.49,12,24397.42,2025-04-29,0.4642,3,371,DEFAULT
L700108,C103711,Credit Card,768000.0,17.14,12,70096.05,2023-07-05,0.4613,1,7,CLOSED
L700109,C100266,Personal Loan,138800.0,,36,4874.11,2024-01-13,0.268,1,0,ACTIVE
L700110,C110863,Credit Card,136600.0,16.94,12,12454.74,2023-01-18,0.3283,0,0,ACTIVE
L700111,C107751,Credit Card,155500.0,16.67,12,14153.86,2025-12-30,0.4176,0,15,ACTIVE
L700112,C101103,Auto Finance,572700.0,20.67,60,15387.05,2026-02-12,0.3672,1,15,ACTIVE
L700113,C106373,Personal Loan,395300.0,22.26,36,15148.39,2025-10-02,0.8733,0,30,CLOSED
L700114,C107684,Credit Card,520700.0,24.67,12,49407.84,2025-02-03,0.2594,0,0,ACTIVE
L700115,C110782,Home Finance,1813400.0,17.81,180,28955.95,2023-05-26,0.0367,2,0,CLOSED
L700116,C105055,Credit Card,167200.0,19.17,12,15420.04,2024-05-27,0.4064,0,15,ACTIVE
L700117,C101337,Auto Finance,541400.0,24.6,60,15763.64,2025-12-05,0.0822,0,7,ACTIVE
L700118,C100685,Credit Card,158400.0,16.9,12,14441.58,2026-04-12,0.3836,0,0,ACTIVE
L700119,C106109,Auto Finance,1973400.0,17.5,60,49577.23,2023-05-10,0.5241,0,45,ACTIVE
L700120,C106168,Personal Loan,857100.0,15.98,36,30123.58,2025-06-28,0.431,0,45,ACTIVE
L700121,C105166,Home Finance,5420500.0,19.28,180,92330.27,2025-04-17,0.0907,1,30,ACTIVE
L700122,C101849,Auto Finance,1210700.0,15.45,60,29088.33,2023-07-10,0.5761,0,0,ACTIVE
L700123,C103856,Home Finance,1297900.0,22.95,180,25671.12,2022-09-25,0.2671,1,0,ACTIVE
L700124,C107093,Credit Card,228600.0,,12,21556.92,2024-03-11,0.4902,1,15,CLOSED
L700125,C108101,Credit Card,257400.0,23.98,12,24332.71,2027-07-28,0.4571,0,0,ACTIVE
L700126,C104934,Credit Card,423800.0,22.72,12,39813.97,2023-11-24,0.1046,1,45,ACTIVE
L700127,C102825,Credit Card,220600.0,15.04,12,19918.46,2025-08-31,0.5329,2,0,ACTIVE
L700128,C107140,Home Finance,1171400.0,23.82,180,23949.12,2025-06-12,0.7491,1,30,ACTIVE
L700129,C103318,Credit Card,503200.0,19.92,12,46598.72,2024-03-03,0.6691,0,114,DEFAULT
L700130,C110051,Auto Finance,2951700.0,22.29,60,82011.09,2025-06-18,0.3242,1,7,ACTIVE
L700131,C107728,Home Finance,368400.0,22.47,180,7151.48,2024-08-02,0.322,2,0,ACTIVE
L700132,C100193,Personal Loan,975700.0,19.36,36,35943.19,2023-08-11,0.3624,0,7,ACTIVE
L700133,C106350,Auto Finance,2447000.0,21.01,60,66213.42,2024-09-17,0.6289,0,0,ACTIVE
L700134,C107964,Auto Finance,988300.0,15.36,60,23697.73,2026-07-05,0.131,0,7,CLOSED
L700135,C100231,Auto Finance,829200.0,21.16,60,22508.34,2024-02-19,0.6052,0,7,ACTIVE
L700136,C106805,Home Finance,1247500.0,23.64,180,25331.09,2026-04-07,0.1078,1,157,DEFAULT
L700137,C107161,Personal Loan,1492100.0,16.28,36,52665.76,2024-01-22,0.3821,0,0,ACTIVE
L700138,C103447,Personal Loan,527200.0,17.29,36,18873.7,2025-10-02,0.2006,0,30,CLOSED
L700139,C102457,Home Finance,190900.0,18.03,180,3078.94,2025-12-14,0.2405,0,45,ACTIVE
L700140,C105031,Auto Finance,3255700.0,16.56,60,80143.49,2023-09-06,0.1376,1,0,CLOSED
L700141,C111995,Credit Card,39800.0,,12,3717.06,2027-09-07,0.2811,0,30,CLOSED
L700142,C104402,Credit Card,58400.0,23.65,12,5510.33,2023-09-22,0.4743,0,45,ACTIVE
L700143,C103308,Credit Card,237300.0,20.1,12,21992.38,2025-11-27,0.373,2,0,CLOSED
L700144,C103783,Personal Loan,922000.0,21.35,36,34903.92,2024-12-16,0.4778,0,0,ACTIVE
L700145,C108030,Credit Card,75000.0,18.25,12,6885.59,2027-04-26,0.1275,0,7,ACTIVE
L700146,C101881,Auto Finance,1353500.0,17.78,60,34208.41,2026-05-05,0.6667,1,45,ACTIVE
L700147,C110991,Personal Loan,562900.0,14.4,36,19347.4,2023-06-13,0.0789,0,45,ACTIVE
L700148,C104029,Credit Card,603400.0,22.02,12,56477.18,2025-03-11,0.2054,1,0,ACTIVE
L700149,C111924,Credit Card,202700.0,24.74,12,19235.84,2026-05-28,0.6194,2,45,ACTIVE
L700150,C105850,Personal Loan,257700.0,19.84,36,9554.27,2023-10-04,0.2233,0,7,ACTIVE
L700151,C105438,Home Finance,323300.0,20.28,180,5745.05,2024-11-28,0.3164,0,0,CLOSED
L700152,C104122,Auto Finance,2963800.0,,60,73593.44,2025-09-23,0.1519,0,15,ACTIVE
L700153,C108820,Personal Loan,227700.0,11.26,36,7484.1,2023-05-16,0.4019,0,122,DEFAULT
L700154,C106473,Auto Finance,1205900.0,20.59,60,32345.36,2027-01-03,0.5117,1,0,ACTIVE
L700155,C103257,Home Finance,1584400.0,17.53,180,24982.25,2025-01-10,0.3357,0,15,CLOSED
L700156,C108796,Auto Finance,3605100.0,19.85,60,95213.05,2024-01-14,0.1173,1,45,ACTIVE
L700157,C102949,Credit Card,69200.0,,12,6513.55,2025-09-08,0.4214,0,0,CLOSED
L700158,C101280,Personal Loan,439000.0,12.52,36,14690.81,2026-08-27,0.3639,0,0,ACTIVE
L700159,C104197,Credit Card,82100.0,18.75,12,7558.76,2022-08-22,0.0581,0,15,ACTIVE
L700160,C101483,Credit Card,230200.0,20.32,12,21357.83,2022-04-04,0.1633,0,45,ACTIVE
L700161,C100939,Auto Finance,3196400.0,13.31,60,73236.8,2023-07-10,0.5735,0,30,ACTIVE
L700162,C108384,Auto Finance,1025900.0,18.88,60,26544.94,2024-10-07,0.214,0,15,ACTIVE
L700163,C100973,Auto Finance,510200.0,25.7,60,15185.39,2024-04-08,0.4081,0,0,ACTIVE
L700164,C100604,Personal Loan,766600.0,14.67,36,26451.44,2027-05-05,0.4221,0,113,DEFAULT
L700165,C102477,Home Finance,2370200.0,18.56,180,39129.66,2026-06-12,0.3915,2,15,ACTIVE
L700166,C100543,Personal Loan,679200.0,25.46,36,27171.58,2026-05-20,0.5845,1,30,ACTIVE
L700167,C106761,Auto Finance,1242500.0,,60,33453.01,2026-06-23,0.4172,0,0,ACTIVE
L700168,C107572,Personal Loan,307600.0,16.64,36,10911.15,2026-06-12,0.395,0,30,ACTIVE
L700169,C108992,Credit Card,439900.0,20.99,12,40959.6,2025-12-22,0.35,0,0,ACTIVE
L700170,C111354,Credit Card,176700.0,22.9,12,16617.75,2026-11-17,0.4616,2,30,ACTIVE
L700171,C106342,Personal Loan,483100.0,22.13,36,18480.86,2025-02-02,0.4086,0,0,ACTIVE
L700172,C110525,Credit Card,396600.0,16.53,12,36082.58,2025-11-04,0.5024,0,30,ACTIVE
L700173,C104493,Personal Loan,684800.0,16.89,36,24377.81,2023-08-05,0.3614,0,0,ACTIVE
L700174,C108182,Credit Card,189200.0,18.23,12,17367.63,2025-10-27,0.3187,0,0,ACTIVE
L700175,C108110,Personal Loan,1809100.0,22.66,36,69708.53,2023-12-01,0.1589,0,315,DEFAULT
L700176,C107896,Personal Loan,793000.0,18.84,36,29005.93,2023-08-23,0.3335,0,45,ACTIVE
L700177,C108561,Credit Card,209400.0,13.13,12,18713.66,2025-11-21,0.675,0,0,ACTIVE
L700178,C100916,Credit Card,250700.0,22.46,12,23516.38,2025-03-18,0.116,0,0,ACTIVE
L700179,C100535,Credit Card,212600.0,17.86,12,19475.79,2025-07-28,0.3495,1,30,ACTIVE
L700180,C103216,Personal Loan,640800.0,19.52,36,23659.27,2023-06-27,0.2962,0,0,CLOSED
L700181,C101464,Personal Loan,162100.0,17.28,36,5803.45,2022-12-14,0.0513,0,15,CLOSED
L700182,C104688,Personal Loan,364900.0,18.59,36,13299.5,2026-03-13,0.5958,0,225,DEFAULT
L700183,C106142,Personal Loan,529600.0,18.75,36,19346.71,2023-12-05,0.7099,1,0,ACTIVE
L700184,C105967,Credit Card,74500.0,20.49,12,6919.43,2024-03-02,0.1926,0,7,ACTIVE
L700185,C108950,Personal Loan,529300.0,17.25,36,18937.22,2024-08-17,0.8163,1,0,CLOSED
L700186,C101966,Home Finance,1703700.0,17.88,180,27289.67,2022-09-17,0.2755,2,45,ACTIVE
L700187,C104829,Home Finance,196500.0,13.99,180,2615.17,2024-04-09,0.3126,1,7,CLOSED
L700188,C105714,Credit Card,452400.0,13.95,12,40608.73,2024-10-04,0.068,0,0,ACTIVE
L700189,C106542,Credit Card,87800.0,,12,8163.53,2024-08-28,0.5047,0,0,ACTIVE
L700190,C102822,Auto Finance,1611300.0,18.75,60,41575.88,2025-11-17,0.2934,2,0,ACTIVE
L700191,C106795,Auto Finance,398800.0,11.75,60,8821.17,2026-10-17,0.4828,0,0,ACTIVE
L700192,C109601,Auto Finance,521900.0,21.46,60,14254.0,2025-11-13,0.6245,0,30,CLOSED
L700193,C104624,Personal Loan,347000.0,14.95,36,12021.52,2024-07-06,0.2994,0,0,ACTIVE
L700194,C103328,Auto Finance,883700.0,17.36,60,22133.73,2023-09-22,0.2423,1,30,CLOSED
L700195,C103605,Credit Card,398200.0,21.05,12,37086.61,2026-10-11,0.0814,0,0,CLOSED
L700196,C103473,Credit Card,861200.0,17.94,12,78928.72,2026-01-15,0.2133,0,45,CLOSED
L700197,C106950,Credit Card,240300.0,23.44,12,22660.2,2027-03-09,0.6022,0,30,ACTIVE
L700198,C104937,Personal Loan,259300.0,17.96,36,9369.62,2023-09-04,0.0041,1,0,ACTIVE
L700199,C109562,Personal Loan,288600.0,17.73,36,10395.06,2026-03-02,0.3421,1,30,ACTIVE
L700200,C100608,Auto Finance,610300.0,21.03,60,16521.41,2024-04-14,0.1414,1,98,DEFAULT
L700201,C103814,Credit Card,17600.0,15.86,12,1595.01,2023-05-23,0.6504,1,0,ACTIVE
L700202,C110442,Personal Loan,1935700.0,24.35,36,76300.43,2024-02-05,0.1022,2,30,CLOSED
L700203,C109111,Home Finance,2785600.0,23.86,180,57035.67,2026-10-29,0.5803,1,30,ACTIVE
L700204,C107682,Home Finance,3515200.0,18.99,180,59130.78,2023-08-15,0.6652,2,15,ACTIVE
L700205,C104990,Credit Card,53500.0,20.09,12,4954.04,2023-09-23,0.6532,1,0,ACTIVE
L700206,C106877,Home Finance,1026900.0,20.29,180,18255.45,2022-09-10,0.3296,0,30,ACTIVE
L700207,C109010,Auto Finance,364000.0,22.99,60,10259.37,2027-10-25,0.0125,0,45,ACTIVE
L700208,C105780,Personal Loan,556000.0,23.87,36,21773.61,2022-09-22,0.5915,1,0,ACTIVE
L700209,C102590,Personal Loan,419700.0,15.34,36,14618.31,2023-03-22,0.2471,0,0,CLOSED
L700210,C110393,Credit Card,550500.0,21.62,12,51423.15,2026-06-28,0.4666,0,30,ACTIVE
L700211,C110949,Credit Card,115200.0,17.02,12,10510.01,2026-02-15,0.4353,0,0,ACTIVE
L700212,C100904,Credit Card,492700.0,17.47,12,45049.4,2023-11-25,0.4124,0,45,ACTIVE
L700213,C107582,Auto Finance,1761700.0,,60,42804.66,2025-09-28,0.7089,0,0,ACTIVE
L700214,C102026,Home Finance,1053700.0,21.19,180,19439.54,2026-05-21,0.1977,0,45,ACTIVE
L700215,C102306,Credit Card,330600.0,15.41,12,29904.69,2023-08-28,0.3391,0,30,ACTIVE
L700216,C111417,Auto Finance,251000.0,18.09,60,6386.89,2023-12-09,0.3157,0,30,ACTIVE
L700217,C101971,Personal Loan,695200.0,16.47,36,24603.65,2024-04-23,0.4223,1,45,ACTIVE
L700218,C101037,Personal Loan,1210300.0,16.04,36,42575.84,2027-01-10,0.4458,0,0,CLOSED
L700219,C100258,Home Finance,2277000.0,14.55,180,31169.78,2024-02-02,0.1212,0,15,CLOSED
L700220,C108230,Credit Card,76500.0,19.16,12,7055.57,2025-07-24,0.6269,0,0,ACTIVE
L700221,C107933,Personal Loan,188300.0,19.83,36,6983.13,2024-09-09,0.4229,0,7,ACTIVE
L700222,C105989,Auto Finance,648600.0,18.77,60,16742.97,2025-06-27,0.393,1,15,ACTIVE
L700223,C102496,Auto Finance,2352900.0,17.14,60,58652.0,2025-09-07,0.1424,0,45,ACTIVE
L700224,C109555,Personal Loan,572900.0,25.32,36,22874.38,2023-05-14,0.1872,0,0,ACTIVE
L700225,C102875,Auto Finance,1005400.0,19.75,60,26496.4,2022-11-17,0.2374,0,0,ACTIVE
L700226,C107013,Credit Card,162700.0,11.55,12,14417.71,2025-12-04,0.2646,0,15,CLOSED
L700227,C100373,Personal Loan,752800.0,19.84,36,27916.07,2026-07-18,0.1517,1,0,ACTIVE
L700228,C108327,Personal Loan,301000.0,16.64,36,10677.21,2025-02-22,0.5239,0,0,ACTIVE
L700229,C103593,Home Finance,1007400.0,23.5,180,20349.14,2023-04-12,0.0474,1,0,ACTIVE
L700230,C105388,Credit Card,257800.0,15.97,12,23385.06,2024-07-16,0.5775,2,15,ACTIVE
L700231,C111150,Credit Card,307900.0,,12,29137.79,2024-11-03,0.1206,1,0,ACTIVE
L700232,C111662,Personal Loan,242600.0,25.76,36,9744.96,2023-08-26,0.3373,0,158,DEFAULT
L700233,C106216,Credit Card,151200.0,22.94,12,14216.9,2025-12-13,0.6815,0,0,ACTIVE
L700234,C100912,Personal Loan,1043500.0,15.49,36,36423.65,2025-05-25,0.1844,0,7,ACTIVE
L700235,C106744,Personal Loan,1328500.0,22.87,36,51337.78,2026-03-30,0.0953,0,0,ACTIVE
L700236,C108947,Personal Loan,528400.0,16.05,36,18590.01,2024-06-08,0.2101,0,30,ACTIVE
L700237,C111511,Auto Finance,363700.0,17.57,60,9151.33,2023-07-07,0.5542,0,45,ACTIVE
L700238,C102245,Auto Finance,414800.0,17.87,60,10504.43,2024-07-21,0.5078,0,0,ACTIVE
L700239,C100151,Auto Finance,981000.0,18.31,60,25075.87,2025-02-02,0.0615,0,45,ACTIVE
L700240,C100564,Personal Loan,525000.0,21.64,36,19953.72,2023-06-13,0.4981,0,45,CLOSED
L700241,C109453,Personal Loan,744500.0,17.45,36,26710.49,2024-12-06,0.361,0,45,ACTIVE
L700242,C105218,Home Finance,314600.0,23.27,180,6299.52,2026-09-30,0.2785,0,7,ACTIVE
L700243,C103253,Credit Card,230200.0,22.49,12,21598.76,2023-06-06,0.7535,0,30,ACTIVE
L700244,C106482,Home Finance,5579900.0,21.56,180,104488.5,2024-03-08,0.5184,1,0,ACTIVE
L700245,C108824,Credit Card,446900.0,22.04,12,41835.83,2024-11-07,0.5532,0,45,ACTIVE
L700246,C103493,Personal Loan,373400.0,18.99,36,13686.25,2023-12-10,0.5682,0,0,ACTIVE
L700247,C101043,Personal Loan,964200.0,19.71,36,35689.38,2023-01-13,0.85,1,30,CLOSED
L700248,C110219,Personal Loan,315700.0,17.57,36,11345.89,2024-11-07,0.1088,3,30,CLOSED
L700249,C101190,Personal Loan,795400.0,17.51,36,28561.89,2027-03-14,0.6412,0,0,ACTIVE
L700250,C106408,Home Finance,8758100.0,17.39,180,137216.35,2026-01-26,0.5788,1,0,ACTIVE
L700251,C107999,Auto Finance,1025600.0,,60,26926.51,2025-02-21,0.0995,1,0,ACTIVE
L700252,C111248,Auto Finance,1041300.0,21.55,60,28494.35,2025-12-22,0.3074,0,0,ACTIVE
L700253,C101077,Auto Finance,1795800.0,18.5,60,46090.19,2024-07-15,0.5055,1,30,ACTIVE
L700254,C103107,Personal Loan,124200.0,21.14,36,4687.43,2024-10-10,0.0302,1,15,CLOSED
L700255,C107069,Personal Loan,743600.0,18.78,36,27174.79,2026-11-26,0.2283,0,30,CLOSED
L700256,C101296,Home Finance,2747400.0,,180,43514.87,2022-09-09,0.1436,1,7,CLOSED
L700257,C111896,Personal Loan,1509600.0,23.07,36,58490.84,2025-04-19,0.6937,0,30,ACTIVE
L700258,C101325,Personal Loan,1178200.0,18.68,36,42999.22,2027-04-16,0.2509,1,0,ACTIVE
