transaction_id,account_id,channel,merchant_category,transaction_date,amount_pkr,direction
T9115731,A515555,ATM,Healthcare,2025-12-20 14:41:07,17427.51,DEBIT
T9102583,A503780,Mobile App,Groceries,2024-08-16 20:59:29,851.16,DEBIT
T9023582,A509134,ATM,Transfer,2023-11-25 04:44:12,8378.41,CREDIT
T9025998,A509318,Mobile App,Groceries,2025-05-12 01:53:10,14695.83,DEBIT
T9249343,A505801,POS,Fuel,2025-12-31 15:14:41,13009.86,DEBIT
T9218938,A505740,Mobile App,Cash Withdrawal,2025-08-10 06:41:06,15246.79,DEBIT
T9004800,A505204,POS,Transfer,2025-10-05 11:38:30,11290.8,CREDIT
T9005887,A514317,ATM,Salary Credit,2025-12-22 13:09:16,32453.86,DEBIT
T9079542,A509656,Internet Banking,Salary Credit,2024-12-24 01:18:49,53408.84,DEBIT
T9243288,A514818,POS,Salary Credit,2025-12-19 14:13:45,317305.66,CREDIT
T9079310,A510037,Mobile App,Groceries,2025-12-02 09:06:30,2483.42,DEBIT
T9228894,A504880,ATM,Transfer,2025-12-31 13:24:11,1072.93,CREDIT
T9120026,A502823,Mobile App,Retail,2024-12-03 10:59:02,16538.32,DEBIT
T9008376,A500117,Mobile App,Travel,2024-08-23 01:35:37,13198.21,DEBIT
T9213372,A504800,ATM,Cash Withdrawal,2022-12-24 13:38:41,38320.01,DEBIT
T9042415,A504159,Mobile App,Groceries,2025-10-17 11:13:28,186.38,DEBIT
T9034389,A517260,ATM,Cash Withdrawal,2025-11-06 10:16:07,1250.46,DEBIT
T9237429,A512507,ATM,Restaurants,2024-07-02 21:49:25,3220.82,DEBIT
T9161479,A514721,ATM,Transfer,2025-12-31 20:47:32,26618.85,DEBIT
T9130977,A512423,Mobile App,Retail,2024-07-04 10:51:47,1468.54,DEBIT
T9106010,A513002,ATM,Groceries,2024-04-03 00:31:09,12423.28,DEBIT
T9010324,A515879,Mobile App,Salary Credit,2025-05-20 11:08:18,242726.43,CREDIT
T9125028,A517862,ATM,Transfer,2025-09-11 14:10:40,1350.61,CREDIT
T9201287,A516854,Internet Banking,Salary Credit,2024-10-06 18:25:01,33387.25,CREDIT
T9227154,A500001,POS,Fuel,2023-01-15 18:11:43,844.1,DEBIT
T9085494,A511657,Mobile App,Retail,2025-12-31 04:55:35,18245.79,DEBIT
T9063304,A506551,Mobile App,Cash Withdrawal,2025-06-01 11:08:44,3914.48,DEBIT
T9050664,A512521,Mobile App,Groceries,2025-08-22 14:37:15,952.24,DEBIT
T9032314,A514259,Internet Banking,Healthcare,2025-11-20 03:13:03,7489.09,DEBIT
T9097180,A503611,POS,Utilities,2025-11-27 12:24:19,1734.51,DEBIT
T9135826,A514863,Mobile App,Travel,2025-05-07 01:02:53,79346.89,DEBIT
T9073492,A507289,Mobile App,Groceries,2024-08-18 02:38:29,11046.12,DEBIT
T9249321,A508027,ATM,Groceries,2025-05-22 07:30:38,36792.51,DEBIT
T9209625,A505531,Internet Banking,Fuel,2025-04-18 19:29:04,11381.26,DEBIT
T9087082,A509907,POS,Retail,2024-02-10 16:52:18,3278.88,DEBIT
T9166749,A508595,POS,Retail,2025-12-31 06:28:38,7986.82,DEBIT
T9140008,A507035,Mobile App,Transfer,2024-02-04 07:27:06,1326.81,CREDIT
T9028792,A507841,POS,Restaurants,2024-07-17 14:21:35,2464.93,DEBIT
T9164938,A503376,POS,Fuel,2025-12-25 11:09:16,591.67,DEBIT
T9130499,A507765,POS,Retail,2023-07-09 17:38:18,1939.74,DEBIT
T9009787,A509229,ATM,Restaurants,2024-03-13 12:23:00,13640.58,DEBIT
T9128461,A517691,Mobile App,Retail,2025-06-11 20:40:50,4086.63,DEBIT
T9238489,A501308,Mobile App,Transfer,2025-07-24 15:49:52,3529.06,CREDIT
T9159181,A514807,Mobile App,Groceries,2025-10-11 13:03:01,23392.88,DEBIT
T9245139,A507728,POS,Cash Withdrawal,2023-10-03 06:59:42,4785.34,DEBIT
T9090732,A500166,Mobile App,Restaurants,2024-12-19 22:47:15,2430.75,DEBIT
T9186731,A513134,POS,Salary Credit,2025-11-18 17:10:58,98106.61,DEBIT
T9151065,A503406,ATM,Retail,2025-02-20 00:10:21,10015.48,DEBIT
T9158723,A500577,Internet Banking,Salary Credit,2024-11-23 22:00:42,12986.51,CREDIT
T9203777,A508579,ATM,Transfer,2025-03-30 04:03:03,437.09,DEBIT
T9236636,A507583,Mobile App,Transfer,2024-10-14 07:57:01,8713.84,DEBIT
T9040886,A507449,Mobile App,Retail,2024-12-19 12:06:58,6804.4,DEBIT
T9141666,A510465,Internet Banking,Fuel,2025-06-15 14:56:32,1269.56,DEBIT
T9095155,A503633,Branch Counter,Healthcare,2022-09-02 17:55:07,6683.1,DEBIT
T9127200,A502106,POS,Retail,2025-09-26 19:58:59,4588.93,DEBIT
T9220492,A511857,Mobile App,Salary Credit,2025-12-17 05:53:26,111556.44,CREDIT
T9163130,A515610,ATM,Groceries,2025-09-20 06:50:41,818.66,DEBIT
T9252997,A509510,Mobile App,Transfer,2023-12-30 07:50:20,874.33,DEBIT
T9091252,A510746,POS,Groceries,2025-11-29 15:24:33,8862.26,DEBIT
T9098603,A510117,ATM,Fuel,2023-07-27 04:28:46,2916.46,DEBIT
T9224486,A514836,Internet Banking,Restaurants,2023-11-22 16:27:17,3858.41,DEBIT
T9196277,A505670,Mobile App,Restaurants,2024-11-15 02:13:29,24476.88,DEBIT
T9073574,A504881,ATM,Groceries,2025-12-28 17:01:33,20870.18,DEBIT
T9196738,A513769,Mobile App,Transfer,2024-01-10 04:39:09,18011.65,CREDIT
T9255050,A509176,Mobile App,Retail,2025-04-18 02:54:22,10203.94,DEBIT
T9154093,A507174,Mobile App,Utilities,2025-12-31 17:47:39,3927.75,DEBIT
T9105882,A509809,POS,Groceries,2024-04-26 23:47:24,2803.3,DEBIT
T9174994,A506497,Mobile App,Restaurants,2025-10-11 21:24:32,709.91,DEBIT
T9155465,A512886,ATM,Transfer,2025-12-08 02:09:52,22221.9,CREDIT
T9066104,A512267,ATM,Salary Credit,2025-12-31 07:02:55,12876.28,CREDIT
T9191473,A508915,ATM,Utilities,2022-05-17 01:06:46,3683.72,DEBIT
T9080417,A517511,ATM,Salary Credit,2024-09-12 05:28:03,702300.2,CREDIT
T9019263,A511833,Internet Banking,Fuel,2025-07-23 11:36:38,7229.46,DEBIT
T9045241,A500307,POS,Restaurants,2025-06-18 06:02:10,7407.88,DEBIT
T9201463,A512478,Mobile App,Restaurants,2025-11-22 16:03:48,16033.11,DEBIT
T9045560,A515033,POS,Travel,2022-11-06 04:50:23,80083.68,DEBIT
T9109355,A507141,Mobile App,Transfer,2025-03-02 16:03:46,7063.74,CREDIT
T9192163,A514801,Mobile App,Utilities,2025-06-24 10:30:48,9549.49,DEBIT
T9182077,A518261,Internet Banking,Retail,2023-09-15 21:31:07,861.75,DEBIT
T9000951,A512804,POS,Transfer,2025-12-03 19:56:54,1171.71,CREDIT
T9004600,A513964,Mobile App,Transfer,2025-02-21 23:56:20,1505.96,DEBIT
T9236358,A503165,ATM,Salary Credit,2025-05-29 23:56:13,105882.87,DEBIT
T9214089,A504631,Mobile App,Retail,2023-12-04 15:50:42,1681.81,DEBIT
T9216941,A504955,Mobile App,Education,2023-10-24 13:07:55,10032.8,DEBIT
T9138541,A503101,Mobile App,Transfer,2025-12-31 00:46:08,1405.32,CREDIT
T9057192,A512012,ATM,Retail,2025-07-27 00:11:19,14163.16,DEBIT
T9136539,A506969,Internet Banking,Transfer,2025-12-31 00:42:42,1209.04,CREDIT
T9000494,A508997,Branch Counter,Transfer,2025-12-31 09:02:19,5092.33,CREDIT
T9228495,A507173,Internet Banking,Cash Withdrawal,2025-03-15 06:20:24,1088.31,DEBIT
T9142376,A512376,Branch Counter,Restaurants,2024-03-22 11:27:02,5302.57,DEBIT
T9079335,A511197,Mobile App,Healthcare,2025-06-02 23:41:12,2344.83,DEBIT
T9221018,A511008,ATM,Healthcare,2025-12-22 05:07:07,709.87,DEBIT
T9187847,A505384,Mobile App,Salary Credit,2025-12-31 07:12:40,13289.59,CREDIT
T9218598,A507129,ATM,Transfer,2024-03-20 21:44:28,1113.7,CREDIT
T9123692,A516792,Mobile App,Healthcare,2025-10-12 05:28:14,34512.65,DEBIT
T9249230,A510668,Mobile App,Salary Credit,2025-05-26 22:57:51,34421.78,DEBIT
T9110947,A514078,POS,Transfer,2023-10-18 16:59:31,5870.94,CREDIT
T9199268,A509911,Mobile App,Transfer,2024-02-24 04:06:16,5760.98,CREDIT
T9073619,A518294,Mobile App,Retail,2025-07-28 08:50:39,7808.86,DEBIT
T9236353,A516811,Mobile App,Retail,2025-09-06 22:40:11,4121.63,DEBIT
T9154107,A503513,POS,Utilities,2025-12-31 16:28:04,3401.29,DEBIT
T9036478,A510860,Mobile App,Transfer,2025-12-31 04:20:58,9543.69,CREDIT
T9163980,A502535,ATM,Restaurants,2025-12-31 09:24:16,1186.04,DEBIT
T9032926,A515016,POS,Transfer,2024-11-22 11:12:51,3029.5,CREDIT
T9208474,A512601,ATM,Retail,2025-05-21 12:46:12,4287.74,DEBIT
T9006381,A518678,Mobile App,Cash Withdrawal,2025-12-31 16:32:07,2810.12,DEBIT
T9033306,A509060,ATM,Salary Credit,2023-06-21 20:42:48,38518.73,CREDIT
T9077489,A504800,Mobile App,Utilities,2025-11-09 23:11:49,3679.12,DEBIT
T9052795,A510308,Mobile App,Healthcare,2025-06-06 10:42:15,5225.26,DEBIT
T9131757,A517556,Mobile App,Salary Credit,2025-09-22 19:41:27,74937.13,CREDIT
T9144269,A504570,ATM,Groceries,2025-09-07 02:35:49,1980.69,DEBIT
T9020663,A515553,Mobile App,Travel,2025-10-12 07:22:24,22499.29,DEBIT
T9171283,A510491,ATM,Healthcare,2024-04-22 07:29:38,3652.44,DEBIT
T9049499,A503988,POS,Healthcare,2024-08-27 08:05:00,7561.63,DEBIT
T9190423,A510457,POS,Retail,2025-11-21 13:31:34,1797.91,DEBIT
T9082219,A506868,Internet Banking,Restaurants,2025-11-29 10:31:59,4680.01,DEBIT
T9222052,A508883,ATM,Restaurants,2025-04-16 04:40:09,2767.32,DEBIT
T9237537,A518158,Internet Banking,Salary Credit,2025-07-19 22:33:23,122226.45,CREDIT
T9034678,A507699,ATM,Transfer,2024-11-24 05:27:47,727.99,CREDIT
T9145836,A502004,Mobile App,Utilities,2025-11-06 04:48:18,7526.44,DEBIT
T9234024,A514616,Mobile App,Retail,2024-09-14 12:51:14,1994.94,DEBIT
T9248415,A513906,Mobile App,Fuel,2024-11-13 04:59:58,12031.2,DEBIT
T9169607,A505032,ATM,Utilities,2024-01-01 16:32:38,1702.88,DEBIT
T9134033,A500977,Mobile App,Healthcare,2024-03-30 05:38:17,4603.02,DEBIT
T9171738,A507774,Mobile App,Utilities,2023-01-07 05:03:02,3697.31,DEBIT
T9230306,A510206,POS,Utilities,2023-04-23 20:22:55,1266.17,DEBIT
T9175588,A504305,Mobile App,Groceries,2025-10-20 11:39:13,8241.25,DEBIT
T9227642,A501797,Mobile App,Cash Withdrawal,2023-11-30 21:23:03,2190.06,DEBIT
T9052854,A518191,Branch Counter,Transfer,2022-07-11 12:42:52,3860.86,CREDIT
T9019184,A513859,ATM,Retail,2022-11-06 14:27:11,3136.64,DEBIT
T9047437,A509549,ATM,Retail,2025-01-06 02:38:17,4298.01,DEBIT
T9019467,A513300,Mobile App,Fuel,2025-12-31 07:19:26,1020.14,DEBIT
T9101095,A512310,ATM,Utilities,2025-12-14 04:29:17,1705.3,DEBIT
T9163646,A504854,Internet Banking,Salary Credit,2023-03-01 09:13:10,246159.34,CREDIT
T9027119,A504125,Internet Banking,Salary Credit,2025-12-16 01:57:07,7607.79,CREDIT
T9234258,A512390,Mobile App,Fuel,2025-01-08 04:23:38,1072.21,DEBIT
T9229293,A503136,Mobile App,Retail,2025-12-31 22:53:09,1064.81,DEBIT
T9115026,A512493,ATM,Fuel,2024-02-04 17:22:11,7312.98,DEBIT
T9036939,A515225,Mobile App,Utilities,2025-10-19 20:29:06,385.01,DEBIT
T9112687,A513553,POS,Retail,2025-12-19 10:31:24,9788.56,DEBIT
T9058965,A506064,POS,Fuel,2025-01-30 05:45:30,55951.18,DEBIT
T9195688,A500758,Mobile App,Cash Withdrawal,2025-12-12 21:44:05,6815.33,DEBIT
T9065052,A501496,Mobile App,Utilities,2023-10-31 20:30:58,29817.7,DEBIT
T9173858,A516552,ATM,Utilities,2023-06-09 19:39:23,4039.01,DEBIT
T9133934,A516982,ATM,Fuel,2024-02-22 10:41:29,2598.88,DEBIT
T9034710,A505138,Mobile App,Fuel,2025-12-31 17:29:00,18184.35,DEBIT
T9097621,A504488,ATM,Groceries,2022-10-24 15:13:30,2492.02,DEBIT
T9246415,A513751,Mobile App,Groceries,2024-04-15 09:20:37,14871.69,DEBIT
T9165165,A503005,Mobile App,Groceries,2023-03-20 01:33:01,28780.74,DEBIT
T9004428,A503660,Mobile App,Fuel,2025-05-13 06:16:34,7665.26,DEBIT
T9085498,A504244,ATM,Education,2025-12-31 23:23:30,1822.89,DEBIT
T9130534,A517830,ATM,Restaurants,2025-12-27 18:24:05,5380.83,DEBIT
T9063301,A514244,Mobile App,Salary Credit,2024-08-19 07:56:41,18805.28,CREDIT
T9207959,A513096,Mobile App,Education,2025-12-05 22:24:57,19544.65,DEBIT
T9130840,A516730,POS,Restaurants,2024-09-03 13:48:27,1538.07,DEBIT
T9147625,A513410,Branch Counter,Transfer,2022-10-12 04:27:01,12901.93,CREDIT
T9041236,A514995,Mobile App,Education,2024-06-07 04:21:42,27984.83,DEBIT
T9114002,A508048,Mobile App,Fuel,2025-12-31 23:40:24,10016.21,DEBIT
T9052455,A512310,ATM,Utilities,2025-12-13 00:35:23,912.36,DEBIT
T9003967,A502647,POS,Salary Credit,2025-08-09 13:00:46,93979.93,CREDIT
T9081405,A508916,Mobile App,Salary Credit,2025-11-01 16:49:55,117606.45,CREDIT
T9135223,A503147,Internet Banking,Restaurants,2025-12-31 16:05:05,10420.51,DEBIT
T9080869,A512521,Mobile App,Travel,2025-10-19 00:43:25,5707.47,DEBIT
T9100985,A517829,ATM,Groceries,2024-07-31 23:47:40,4384.44,DEBIT
T9190861,A517625,ATM,Utilities,2025-12-07 22:50:15,563.16,DEBIT
T9176807,A514498,Internet Banking,Cash Withdrawal,2024-07-05 17:38:02,8805.74,DEBIT
T9203902,A517618,Mobile App,Retail,2023-02-16 05:08:14,28803.32,DEBIT
T9074142,A504025,Mobile App,Groceries,2024-07-25 20:05:28,1840.41,DEBIT
T9204280,A513415,Internet Banking,Restaurants,2025-06-02 05:21:51,2218.92,DEBIT
T9115643,A511942,POS,Retail,2025-12-19 12:04:26,16954.92,DEBIT
T9015682,A515689,ATM,Education,2024-09-08 07:02:10,1709.95,DEBIT
T9147248,A506326,Mobile App,Education,2025-12-31 06:13:03,,DEBIT
T9187029,A503246,ATM,Salary Credit,2025-12-04 00:43:28,127940.71,CREDIT
T9076457,A515374,POS,Fuel,2025-09-26 20:47:12,1442.91,DEBIT
T9038926,A506036,Mobile App,Groceries,2025-11-02 16:23:30,64145.34,DEBIT
T9255157,A516001,ATM,Travel,2024-11-13 14:21:46,3831.41,DEBIT
T9049148,A506312,Mobile App,Utilities,2025-10-25 00:22:15,1110.06,DEBIT
T9158831,A500001,POS,Education,2023-09-05 23:14:47,2035.34,DEBIT
T9008401,A518042,POS,Healthcare,2025-07-20 06:14:46,1254.99,DEBIT
T9247833,A517434,Mobile App,Utilities,2025-09-18 10:19:06,188.24,DEBIT
T9237895,A512704,Internet Banking,Groceries,2024-03-13 12:29:14,1019.78,DEBIT
T9210262,A517980,POS,Restaurants,2025-12-09 02:33:00,6435.36,DEBIT
T9225129,A503477,Internet Banking,Fuel,2025-12-31 07:42:06,11131.62,DEBIT
T9017820,A508722,Internet Banking,Healthcare,2024-02-22 00:39:48,4425.25,DEBIT
T9055797,A502448,ATM,Transfer,2025-09-22 18:32:05,325.78,CREDIT
T9177882,A510558,ATM,Salary Credit,2025-12-04 08:45:05,20149.93,DEBIT
T9137717,A504277,Mobile App,Groceries,2025-02-02 21:46:27,4046.02,DEBIT
T9211279,A505984,ATM,Restaurants,2025-12-31 09:57:19,3830.48,DEBIT
T9172707,A504779,ATM,Groceries,2025-03-08 14:48:12,3315.6,DEBIT
T9232766,A507087,Mobile App,Restaurants,2025-06-06 23:11:11,1888.91,DEBIT
T9106174,A502141,Internet Banking,Salary Credit,2024-09-16 11:51:53,126835.1,CREDIT
T9165834,A500517,Internet Banking,Groceries,2024-07-31 07:41:51,4741.92,DEBIT
T9135232,A516917,Branch Counter,Groceries,2025-06-30 19:08:47,2535.93,DEBIT
T9227061,A502517,Internet Banking,Utilities,2025-10-15 21:55:41,2583.62,DEBIT
T9191370,A508691,ATM,Healthcare,2025-12-31 00:39:05,60599.49,DEBIT
T9156155,A517028,POS,Groceries,2025-09-09 15:43:43,2032.59,DEBIT
T9135962,A517178,ATM,Education,2024-02-12 13:29:12,17447.85,DEBIT
T9026495,A500159,Mobile App,Utilities,2025-09-02 14:42:19,3361.9,DEBIT
T9257105,A500279,Mobile App,Restaurants,2025-12-31 06:35:35,36604.35,DEBIT
T9049678,A513665,Branch Counter,Groceries,2023-11-13 07:10:10,5114.76,DEBIT
T9000329,A514941,POS,Utilities,2025-05-20 00:02:36,2566.4,DEBIT
T9192960,A509969,Mobile App,Transfer,2022-12-04 12:26:11,1138.35,CREDIT
T9085389,A507691,Mobile App,Utilities,2025-11-16 12:11:18,901.83,DEBIT
T9109083,A506312,POS,Salary Credit,2023-12-24 03:02:35,143559.99,DEBIT
T9100584,A514740,POS,Groceries,2024-12-13 01:52:04,3119.98,DEBIT
T9138410,A505641,Mobile App,Travel,2025-10-08 21:46:58,21128.63,DEBIT
T9025171,A500198,Internet Banking,Groceries,2024-10-17 18:54:17,8111.8,DEBIT
T9057693,A515472,ATM,Transfer,2025-12-31 16:15:34,930.12,CREDIT
T9087412,A518604,Mobile App,Groceries,2023-04-26 17:43:38,91969.16,DEBIT
T9106625,A504012,POS,Travel,2023-08-07 20:48:39,539.66,DEBIT
T9063965,A502845,ATM,Travel,2024-02-12 13:14:32,9293.52,DEBIT
T9200807,A500985,Mobile App,Education,2025-12-09 14:50:46,11708.52,DEBIT
T9120283,A515310,POS,Travel,2023-10-13 08:16:17,132644.51,DEBIT
T9044973,A515227,POS,Healthcare,2025-04-21 04:28:47,1357.44,DEBIT
T9205148,A504495,ATM,Retail,2025-12-31 01:33:32,34913.15,DEBIT
T9159189,A517744,Mobile App,Utilities,2025-12-31 12:52:24,50325.46,DEBIT
T9159341,A507030,Mobile App,Fuel,2025-05-30 20:31:41,8274.71,DEBIT
T9208889,A517898,POS,Cash Withdrawal,2025-06-14 17:39:12,4252.16,DEBIT
T9148637,A504335,ATM,Groceries,2025-12-31 02:48:03,603.2,DEBIT
T9254047,A504010,Mobile App,Groceries,2023-01-02 09:17:37,7078.44,DEBIT
T9253599,A515568,Branch Counter,Travel,2023-01-02 05:41:11,10078.18,DEBIT
T9193732,A512655,Mobile App,Transfer,2024-03-21 16:19:19,1293.75,CREDIT
T9250571,A512366,Mobile App,Healthcare,2024-09-27 09:53:56,8573.82,DEBIT
T9022054,A504038,POS,Cash Withdrawal,2023-03-14 04:46:45,15394.9,DEBIT
T9241419,A502105,ATM,Salary Credit,2024-12-06 03:11:48,121045.07,CREDIT
T9023708,A513786,Mobile App,Fuel,2025-02-12 09:52:16,21788.35,DEBIT
T9103750,A515813,Mobile App,Restaurants,2022-12-17 08:15:06,1382.8,DEBIT
T9074101,A510629,Mobile App,Cash Withdrawal,2023-02-21 10:17:35,3111.91,DEBIT
T9158941,A506943,ATM,Groceries,2025-10-19 03:45:49,2791.41,DEBIT
T9058280,A504120,ATM,Transfer,2025-12-31 02:53:50,6006.83,CREDIT
T9061902,A518262,POS,Cash Withdrawal,2024-10-01 15:22:21,1397.51,DEBIT
T9091242,A514781,Internet Banking,Fuel,2023-06-24 19:45:47,1706.75,DEBIT
T9246249,A512287,ATM,Groceries,2024-12-03 09:57:18,1020.43,DEBIT
T9161087,A517393,ATM,Retail,2023-11-13 18:24:00,22283.2,DEBIT
T9220368,A517359,Mobile App,Transfer,2023-01-22 11:36:30,1591.73,DEBIT
T9203992,A500319,Mobile App,Restaurants,2024-02-02 16:53:15,593.75,DEBIT
T9170950,A507707,POS,Groceries,2025-12-03 07:53:19,8990.13,DEBIT
T9060935,A506786,Mobile App,Groceries,2025-11-12 19:17:14,971.33,DEBIT
T9151863,A510856,Mobile App,Groceries,2025-05-26 22:55:27,21957.94,DEBIT
T9174080,A510185,POS,Utilities,2025-12-14 23:29:27,2192.76,DEBIT
T9119492,A512137,ATM,Groceries,2024-01-19 07:38:32,228.67,DEBIT
T9199879,A511264,ATM,Salary Credit,2025-12-04 02:28:59,725698.71,DEBIT
T9114711,A511220,ATM,Utilities,2023-07-28 09:37:18,1775.22,DEBIT
T9115567,A506956,POS,Cash Withdrawal,2023-06-13 21:55:20,3286.91,DEBIT
T9168107,A517306,POS,Utilities,2025-12-31 14:08:40,17179.32,DEBIT
T9026285,A503533,ATM,Salary Credit,2025-12-31 13:11:15,16607.07,CREDIT
T9158559,A503633,Mobile App,Fuel,2022-10-04 12:56:20,4103.5,DEBIT
T9129172,A501177,Internet Banking,Cash Withdrawal,2025-07-16 10:58:57,1116.46,DEBIT
T9213049,A511585,ATM,Utilities,2024-09-13 06:42:33,348.2,DEBIT
T9185877,A504799,ATM,Retail,2025-11-22 05:56:13,4451.14,DEBIT
T9128737,A518344,Internet Banking,Retail,2025-09-05 21:11:54,11593.37,DEBIT
T9122596,A505255,Mobile App,Salary Credit,2025-12-17 07:56:50,92802.3,DEBIT
T9047026,A509470,ATM,Transfer,2023-12-01 05:11:50,1588.54,CREDIT
T9065347,A506461,Branch Counter,Groceries,2025-12-31 17:19:41,9258.75,DEBIT
T9211835,A510374,Mobile App,Restaurants,2025-11-22 10:41:40,2508.47,DEBIT
T9238939,A517854,Mobile App,Restaurants,2024-08-25 07:54:09,705.77,DEBIT
T9064610,A505121,Mobile App,Education,2025-04-09 18:36:35,2693.89,DEBIT
T9020616,A504707,Internet Banking,Healthcare,2025-12-31 13:30:06,9131.66,DEBIT
T9123874,A505348,POS,Transfer,2025-10-25 12:30:28,4582.47,CREDIT
T9122340,A502425,Mobile App,Salary Credit,2025-10-16 13:29:39,205111.64,CREDIT
T9224231,A508847,POS,Salary Credit,2024-11-19 08:41:22,164245.05,DEBIT
T9213326,A503497,Mobile App,Retail,2025-11-16 09:31:39,817.36,DEBIT
T9225547,A509255,POS,Cash Withdrawal,2023-12-02 19:35:25,91576.51,DEBIT
T9159057,A505914,Internet Banking,Retail,2024-08-03 21:22:17,2116.46,DEBIT
T9068910,A514804,Mobile App,Retail,2023-05-18 01:05:34,1186.75,DEBIT
T9221473,A512412,ATM,Restaurants,2025-04-05 06:22:28,611.83,DEBIT
T9195645,A506531,Mobile App,Utilities,2023-09-07 06:59:15,14499.32,DEBIT
T9064458,A500235,Internet Banking,Restaurants,2023-02-01 13:08:19,1439.61,DEBIT
T9174090,A500939,Internet Banking,Utilities,2024-12-03 08:00:00,1817.98,DEBIT
T9212389,A509604,ATM,Groceries,2025-12-31 08:55:30,3565.87,DEBIT
T9177103,A511454,Mobile App,Retail,2023-10-16 17:11:39,1377.66,DEBIT
T9076978,A507051,POS,Groceries,2024-05-04 15:37:00,632.61,DEBIT
T9090878,A511543,POS,Cash Withdrawal,2025-01-30 09:17:54,3775.63,DEBIT
T9163494,A506021,ATM,Transfer,2025-11-21 19:43:34,3459.86,CREDIT
T9002137,A517886,Mobile App,Fuel,2023-11-20 23:03:32,3056.47,DEBIT
T9029069,A511380,Mobile App,Fuel,2023-08-01 14:55:23,13377.83,DEBIT
T9198124,A512007,POS,Cash Withdrawal,2025-11-26 15:06:29,6017.75,DEBIT
T9239875,A515345,Internet Banking,Groceries,2025-11-18 10:42:48,3425.55,DEBIT
T9182226,A507918,POS,Utilities,2025-12-31 13:11:06,3090.88,DEBIT
T9055295,A503095,POS,Healthcare,2023-07-20 18:20:24,4237.93,DEBIT
T9014820,A506588,Mobile App,Groceries,2025-12-13 01:44:08,935.2,DEBIT
T9154999,A502751,Mobile App,Cash Withdrawal,2023-06-28 20:24:42,2868.68,DEBIT
T9134132,A510779,POS,Transfer,2025-11-05 22:42:22,764.24,CREDIT
T9230054,A517015,Branch Counter,Salary Credit,2025-12-12 09:10:10,11288.72,CREDIT
T9073288,A500349,Mobile App,Fuel,2024-12-21 02:00:05,4398.62,DEBIT
T9216497,A506839,ATM,Cash Withdrawal,2025-06-27 16:06:32,2640.91,DEBIT
T9082968,A516792,ATM,Education,2025-10-15 20:14:49,1263.94,DEBIT
T9105314,A506382,POS,Cash Withdrawal,2025-12-31 11:02:28,40667.47,DEBIT
T9133474,A501540,POS,Utilities,2025-05-17 06:57:49,3135.37,DEBIT
T9019510,A510713,ATM,Groceries,2025-04-07 19:15:51,4887.45,DEBIT
T9223081,A514723,Mobile App,Travel,2023-06-09 07:11:26,31691.44,DEBIT
T9205093,A506704,Internet Banking,Transfer,2024-10-21 21:51:07,21013.48,CREDIT
T9148722,A504770,POS,Restaurants,2022-12-31 21:41:03,,DEBIT
T9209058,A518131,ATM,Education,2025-02-14 10:39:45,2335.55,DEBIT
